,0
974,1306
975,2310
976,1363
977,990
978,843
979,2496
980,2380
981,1894
982,1382
983,1735
984,2513
985,2447
986,925
987,1982
988,1822
989,1312
990,681
991,2287
992,1678
993,589
994,3006
995,2891
996,2009
997,307
998,2591
999,2190
1000,2093
1001,1166
1002,1941
1003,204
1004,174
1005,2065
1006,2572
1007,1422
1008,2803
1009,804
1010,2342
1011,366
1012,1103
1013,1091
1014,1183
1015,1243
1016,2953
1017,2888
1018,1839
1019,3080
1020,1949
1021,1130
1022,1123
1023,119
1024,2963
1025,572
1026,25
1027,1781
1028,1075
1029,797
1030,1692
1031,1582
1032,55
1033,2105
1034,1481
1035,592
1036,2584
1037,3061
1038,1617
1039,2676
1040,771
1041,2014
1042,1887
1043,2460
1044,2320
1045,2475
1046,2331
1047,3047
1048,193
1049,2582
1050,880
1051,449
1052,2270
1053,2820
1054,2379
1055,2996
1056,14
1057,527
1058,1110
1059,2955
1060,1506
1061,761
1062,3038
1063,2363
1064,3036
1065,287
1066,1747
1067,1820
1068,1234
1069,490
1070,806
1071,723
1072,467
1073,560
1074,2974
1075,3225
1076,1657
1077,1791
1078,2655
1079,942
1080,649
1081,2489
1082,1920
1083,1950
1084,1334
1085,2851
1086,2695
1087,1648
1088,28
1089,2846
1090,1074
1091,1775
1092,2674
1093,614
1094,1851
1095,1853
1096,874
1097,1520
1098,2770
1099,2004
1100,3019
1101,778
1102,1968
1103,3218
1104,2237
1105,1395
1106,1174
1107,2420
1108,1787
1109,2785
1110,524
1111,1577
1112,2140
1113,550
1114,2564
1115,2155
1116,2969
1117,989
1118,1837
1119,2883
1120,305
1121,427
1122,1945
1123,2639
1124,2021
1125,538
1126,2827
1127,832
1128,2321
1129,2967
1130,823
1131,1560
1132,3050
1133,1016
1134,10
1135,570
1136,1873
1137,1821
1138,2776
1139,2135
1140,1557
1141,1858
1142,2231
1143,551
1144,2954
1145,1364
1146,2195
1147,262
1148,2982
1149,1097
1150,2075
1151,457
1152,3042
1153,2985
1154,2556
1155,1963
1156,360
1157,2987
1158,150
1159,768
1160,1549
1161,1232
1162,3012
1163,591
1164,2925
1165,1627
1166,2574
1167,2894
1168,2050
1169,1726
1170,2138
1171,781
1172,1556
1173,516
1174,1403
1175,898
1176,231
1177,2672
1178,462
1179,240
1180,3231
1181,679
1182,2576
1183,1216
1184,2113
1185,872
1186,1134
1187,2332
1188,1194
1189,2129
1190,2886
1191,251
1192,2628
1193,2010
1194,99
1195,946
1196,1645
1197,2538
1198,2314
1199,1940
1200,783
1201,1079
1202,3
1203,2211
1204,1272
1205,1425
1206,3181
1207,2161
1208,1578
1209,2215
1210,887
1211,2863
1212,2184
1213,2413
1214,2872
1215,1118
1216,1290
1217,273
1218,2545
1219,2899
1220,2510
1221,1695
1222,2708
1223,728
1224,2758
1225,1912
1226,2957
1227,484
1228,725
1229,2317
1230,169
1231,3091
1232,1488
1233,1611
1234,1400
1235,967
1236,227
1237,704
1238,2559
1239,3168
1240,669
1241,2789
1242,1372
1243,3085
1244,2945
1245,350
1246,3068
1247,406
1248,2505
1249,3043
1250,1406
1251,252
1252,1163
1253,1670
1254,3154
1255,3186
1256,2828
1257,3106
1258,1658
1259,2800
1260,747
1261,3026
1262,1169
1263,422
1264,1730
1265,2931
1266,2382
1267,1165
1268,2924
1269,721
1270,1733
1271,3065
1272,491
1273,2016
1274,1283
1275,802
1276,791
1277,363
1278,960
1279,212
1280,473
1281,871
1282,1925
1283,369
1284,1453
1285,1203
1286,3224
1287,106
1288,452
1289,299
1290,2017
1291,3015
1292,911
1293,674
1294,640
1295,2728
1296,75
1297,233
1298,2025
1299,798
1300,2941
1301,1895
1302,2648
1303,849
1304,1817
1305,1599
1306,2561
1307,166
1308,1635
1309,152
1310,86
1311,2200
1312,110
1313,667
1314,2543
1315,280
1316,3236
1317,18
1318,335
1319,2411
1320,1148
1321,952
1322,2220
1323,2840
1324,405
1325,2679
1326,392
1327,2569
1328,2362
1329,716
1330,260
1331,2634
1332,205
1333,3152
1334,647
1335,471
1336,446
1337,3032
1338,750
1339,442
1340,1014
1341,2319
1342,3155
1343,714
1344,2072
1345,474
1346,2419
1347,3149
1348,2958
1349,1240
1350,96
1351,1122
1352,2929
1353,1790
1354,2369
1355,583
1356,2352
1357,2246
1358,732
1359,445
1360,92
1361,929
1362,1656
1363,196
1364,2554
1365,548
1366,785
1367,54
1368,453
1369,2905
1370,1500
1371,2662
1372,3086
1373,381
1374,498
1375,530
1376,3113
1377,3069
1378,949
1379,2581
1380,239
1381,11
1382,3056
1383,2983
1384,372
1385,493
1386,1903
1387,353
1388,182
1389,3035
1390,2134
1391,731
1392,1003
1393,37
1394,1125
1395,81
1396,466
1397,340
1398,2592
1399,1633
1400,1275
1401,180
1402,2440
1403,1652
1404,1543
1405,3089
1406,46
1407,821
1408,131
1409,1563
1410,494
1411,770
1412,421
1413,2437
1414,3148
1415,2849
1416,2277
1417,203
1418,1323
1419,826
1420,3192
1421,1070
1422,2610
1423,2857
1424,134
1425,1707
1426,2702
1427,2821
1428,2368
1429,438
1430,1266
1431,505
1432,2001
1433,2260
1434,3235
1435,137
1436,1381
1437,1826
1438,774
1439,1953
1440,2721
1441,140
1442,437
1443,2462
1444,3162
1445,2381
1446,966
1447,1986
1448,3204
1449,3018
1450,432
1451,736
1452,2704
1453,1824
1454,2333
1455,1457
1456,3109
1457,601
1458,739
1459,639
1460,1667
1461,2657
1462,2281
1463,1397
1464,496
1465,102
1466,1569
1467,2596
1468,378
1469,2745
1470,3097
1471,1764
1472,1222
1473,3203
1474,78
1475,741
1476,520
1477,30
1478,3110
1479,1455
1480,2421
1481,676
1482,3161
1483,3040
1484,737
1485,144
1486,463
1487,2600
1488,69
1489,914
1490,636
1491,2794
1492,610
1493,3184
1494,113
1495,2048
1496,33
1497,447
1498,1040
1499,1587
1500,2169
1501,2741
1502,910
